user_id,input_cnt,valid_input_cnt,correct_cnt,odd_input_cnt,correct_rate,rank,score,work_time
4021088987,131,129,128,0,0.992248062015504,17853,0.165638437091045,33.9
4021906221,6,4,4,0,1,13105,0.38652084501776,0.566666666666667
4022229198,5,5,5,0,1,11954,0.421620863712844,0.6
4022235559,91,89,88,2,0.98876404494382,18255,0.146803140773976,1889.83333333333
4022288097,38,38,38,0,1,4085,0.806505888951206,3.9
4022454396,13,11,11,2,1,9614,0.54940175733782,27.5166666666667
4022576603,379,375,373,4,0.994666666666667,17506,0.181856421761077,54.7666666666667
4022660702,19,19,19,0,1,6958,0.667320994578426,343.366666666667
4022795224,5,5,5,0,1,11954,0.421620863712844,0.383333333333333
4022878290,37,34,33,3,0.970588235294118,19180,0.103524023181903,6.5
4023121316,6,5,5,1,1,12377,0.417648158534305,0.566666666666667
4024083665,5,3,3,2,1,13835,0.352028416526454,0.5
4025057079,3,3,3,0,1,13185,0.358618433352028,0.216666666666667
4025102378,7,7,7,0,1,10929,0.472938867077959,2.33333333333333
4025286606,4,1,0,0,0,21139,0.0114974761637689,0.183333333333333
4026002415,13,10,5,3,0.5,20759,0.0298186576930267,1
4026283446,3292,3258,3238,2,0.993861264579497,17635,0.175827257431296,5761.38333333333
4026476778,3,3,3,0,1,13185,0.358618433352028,0.183333333333333
4026728355,28,28,28,0,1,5265,0.749392409796224,2.18333333333333
4027154049,9,9,9,0,1,10062,0.516171246962049,0.783333333333333
4027269618,2189,2173,2171,2,0.999079613437644,16784,0.215601046924659,3283.35
4027509738,13,11,11,2,1,9614,0.54940175733782,4.61666666666667
4027714828,71,70,70,1,1,2180,0.897924845765564,241.65
4028048038,67,67,67,0,1,2263,0.893251074967284,8.2
4028092413,49,49,49,0,1,3174,0.850205645915124,11.3833333333333
4028296926,70,68,68,2,1,2253,0.894606468498785,1544.55
4028497818,1,1,1,0,1,14959,0.252757524770985,0
4028841081,289,288,284,0,0.986111111111111,18459,0.137315386053468,41.0166666666667
4029234207,38,38,38,0,1,4085,0.806505888951206,3
4029581310,6,3,3,1,1,13866,0.350953449242849,0.833333333333333
4029784036,21,21,21,0,1,6499,0.688539914002617,0.883333333333333
4029904971,2,2,2,0,1,13960,0.316788184707422,620.066666666667
4030266591,7,7,7,0,1,10929,0.472938867077959,13.35
4030543637,107,105,105,1,1,1335,0.937558422134979,86.5166666666667
4030611853,9,9,9,0,1,10062,0.516171246962049,0.566666666666667
4030731713,15,15,15,0,1,7989,0.61782576182464,1.95
4030843593,226,222,219,2,0.986486486486487,18435,0.138437091045055,245.15
4030920520,8,8,8,0,1,10474,0.496027294821462,1.31666666666667
4031006176,10,9,9,1,1,10354,0.513226771359133,1.36666666666667
4031076940,3,1,1,0,1,16240,0.234342867825762,0.25
4031366299,26,25,23,1,0.92,19883,0.0707141521779772,5.56666666666667
4031414721,5,5,5,0,1,11954,0.421620863712844,85.4666666666667
4032237146,24,16,16,0,1,7983,0.626892877173303,62.5
4032390610,7,7,7,0,1,10929,0.472938867077959,0.916666666666667
4032588318,17,17,16,0,0.941176470588235,19700,0.0788932510749673,13.3333333333333
4032905001,28,28,28,0,1,5265,0.749392409796224,1779.75
4033062863,1,1,1,0,1,14959,0.252757524770985,0
4033694422,7,2,2,0,1,14870,0.304309216676014,1
4033901882,12,9,8,3,0.888888888888889,20096,0.0606188072536923,2.7
4034223326,63,17,17,0,1,7701,0.640119648532436,5.08333333333333
4034284185,5,4,4,0,1,13005,0.387595812301365,14.9
4034718761,38,38,38,0,1,4085,0.806505888951206,1.95
4034758265,1536,1517,1510,4,0.995385629531971,17386,0.187464946719013,1587.96666666667
4034926719,30,21,21,1,1,6751,0.684520471116096,401.783333333333
4035033985,19,19,19,0,1,6958,0.667320994578426,1.8
4035607599,9,9,9,0,1,10062,0.516171246962049,2.7
4035722489,5,2,2,0,1,14821,0.305804823331464,1617.16666666667
4035729165,8,6,6,1,1,11878,0.44358758646476,1.83333333333333
4035733886,7,4,4,0,1,13128,0.386146943353898,0.933333333333333
4036140581,69,66,64,1,0.96969696969697,19195,0.102916432978127,187.583333333333
4036191230,21,21,21,0,1,6499,0.688539914002617,2.63333333333333
4036290007,14,12,12,2,1,9244,0.56692839783137,2.11666666666667
4036962697,9,9,9,0,1,10062,0.516171246962049,3.55
4037257498,32,32,32,0,1,4729,0.774677509814919,0.866666666666667
4037400557,6,6,6,0,1,11428,0.448822209758833,0.45
4037567181,10,9,9,0,1,10354,0.513226771359133,1.43333333333333
4037742876,14,14,14,0,1,8276,0.603103383810058,11.95
4038183598,34,34,34,0,1,4505,0.785801084314825,2.9
4038642164,278,273,273,2,1,312,0.985464572817349,37.5166666666667
4038892065,8,2,0,6,0,21003,0.0183679192372406,0.716666666666667
4039497835,7,3,2,2,0.666666666666667,20650,0.0347728547392036,3.06666666666667
4039699383,4,3,3,1,1,13725,0.35347728547392,1.2
4039754474,106,105,104,1,0.990476190476191,18075,0.155215928210881,25.35
4039827651,2,2,2,0,1,13960,0.316788184707422,0.166666666666667
4039908069,403,400,397,0,0.9925,17816,0.167367732286409,428.533333333333
4039993132,3635,3551,3538,4,0.996339059419882,17223,0.195083193120209,1620.9
4040116842,3,3,3,0,1,13185,0.358618433352028,0.25
4040251341,24,24,24,0,1,5896,0.718498784819592,22.05
4040368682,8,8,8,0,1,10474,0.496027294821462,1.36666666666667
4040974211,154,154,154,0,1,790,0.963030472985605,210.366666666667
4041281579,258,258,257,0,0.996124031007752,17260,0.193353897924846,5960.01666666667
4041450708,39,39,39,0,1,3980,0.810805758085623,2.45
4041965214,5,3,3,0,1,13835,0.352028416526454,264.733333333333
4042148775,4,2,1,1,0.5,20850,0.0251916246027295,0.3
4042216246,48,48,48,0,1,3242,0.8464666292765,1471.93333333333
4042444150,4,4,4,0,1,12531,0.392269583099645,0.3
4042517858,67,67,66,0,0.985074626865672,18533,0.133763320246775,6008.06666666667
4042872139,3,3,3,0,1,13185,0.358618433352028,0.6
4042927248,5,5,5,0,1,11954,0.421620863712844,2.21666666666667
4043156708,128,128,128,0,1,1020,0.952140587025612,6.63333333333333
4043246817,5,5,5,0,1,11954,0.421620863712844,0.533333333333333
4043353453,501,501,499,0,0.996007984031936,17281,0.192372406057207,5703.88333333333
4043509766,2,1,1,1,1,15990,0.241073097775285,0.15
4043785806,19,19,19,0,1,6958,0.667320994578426,1.3
4043908569,24,24,24,0,1,5896,0.718498784819592,3.03333333333333
4044392462,59,49,49,0,1,3238,0.848663301551692,12.85
4044594362,15,4,4,0,1,13169,0.384464385866517,120.65
4044614825,16,16,15,0,0.9375,19739,0.0766031033838101,101.666666666667
4044746402,1,1,1,0,1,14959,0.252757524770985,0
4045022951,4,4,4,0,1,12531,0.392269583099645,0.866666666666667
4045030139,39,39,39,0,1,3980,0.810805758085623,4.7
4045093980,17,17,17,0,1,7428,0.643765189755094,1.31666666666667
4045223825,7,7,7,0,1,10929,0.472938867077959,0.8
4045272095,7,7,7,0,1,10929,0.472938867077959,95.2
4045887854,16,15,15,0,1,8179,0.615114974761638,6.68333333333333
4045937412,1,1,1,0,1,14959,0.252757524770985,0
4045942303,25,25,25,0,1,5718,0.727051785380445,8.45
4046280894,44,44,44,0,1,3568,0.831043185642176,22.6666666666667
4046703752,102,102,101,0,0.990196078431373,18104,0.153907272387362,20.5833333333333
4047343091,9,9,9,0,1,10062,0.516171246962049,2.45
4047353103,10,10,10,0,1,9660,0.535988035146756,9.01666666666667
4047616097,6,6,6,0,1,11428,0.448822209758833,7.65
4047996781,4,4,4,0,1,12531,0.392269583099645,0.883333333333333
4048776222,10,10,10,0,1,9660,0.535988035146756,32.7166666666667
4049168740,27,26,26,1,1,5667,0.733922228453917,2.88333333333333
4049197811,41,23,22,1,0.956521739130435,19518,0.0878201532996822,10.5166666666667
4049232211,5,5,5,0,1,11954,0.421620863712844,0.433333333333333
4049320580,252,251,246,1,0.9800796812749,18790,0.121845204711161,72.8166666666667
4049357985,96,95,95,0,1,1519,0.928958683866143,1852.9
4049459697,59,52,52,0,1,3049,0.857496728360441,5444.2
4049485399,21,21,21,0,1,6499,0.688539914002617,1579.03333333333
4049812552,58,58,58,0,1,2676,0.87366797532249,3.28333333333333
4049871362,6,6,6,0,1,11428,0.448822209758833,0.566666666666667
4050024663,7,4,4,0,1,13128,0.386146943353898,1.4
4050046045,63,61,61,1,1,2562,0.879977565900168,30.4666666666667
4050443213,32,30,30,2,1,5111,0.760702935128061,5.28333333333333
4050499141,100,57,57,0,1,2773,0.870443073471677,1540.1
4051022604,108,107,107,1,1,1303,0.939007291082445,527.916666666667
4052067152,298,293,292,0,0.996587030716723,17176,0.197279865395401,685.75
4052811530,5,5,5,0,1,11954,0.421620863712844,1.88333333333333
4053059791,420,414,411,4,0.992753623188406,17790,0.168582912693962,23298337.0166667
4053207779,16,16,16,0,1,7703,0.630912320059824,1.55
4053622292,27,25,25,1,1,5874,0.724995326229202,6.78333333333333
4053648747,70,69,67,0,0.971014492753623,19168,0.104084875677697,5607.61666666667
4053688168,21,20,20,0,1,6880,0.676621798467003,48.7833333333333
4053742505,11,11,11,0,1,9291,0.55323424939241,6.45
4053862283,4,3,1,1,0.333333333333333,20916,0.0223406244157787,0.716666666666667
4054313933,5,4,4,0,1,13005,0.387595812301365,0.366666666666667
4054510433,5,5,5,0,1,11954,0.421620863712844,0.65
4054715520,390,389,387,1,0.994858611825193,17472,0.183445503832492,2335.4
4054723020,9,9,9,0,1,10062,0.516171246962049,1.23333333333333
4054863812,107,99,96,0,0.96969696969697,19193,0.103009908394092,7401.36666666667
4055125485,70,63,61,0,0.968253968253968,19243,0.100673022994952,17.3666666666667
4055166386,6,6,6,0,1,11428,0.448822209758833,0.55
4055217141,107,105,104,0,0.990476190476191,18077,0.155169190502898,24.4833333333333
4055749883,3,3,3,0,1,13185,0.358618433352028,1.71666666666667
4055916612,107,107,107,0,1,1296,0.939194241914377,18.4
4056154729,25,25,25,0,1,5718,0.727051785380445,1.88333333333333
4056155110,33,32,32,1,1,4823,0.773415591699383,1.26666666666667
4056234160,8,1,1,0,1,16597,0.22279865395401,13.2166666666667
4056576491,5,5,5,0,1,11954,0.421620863712844,0.716666666666667
4056683207,67,67,67,0,1,2263,0.893251074967284,1121.21666666667
4056772475,41,36,36,5,1,4388,0.794961675079454,10.6666666666667
4056844890,34,34,34,0,1,4505,0.785801084314825,2.63333333333333
4056955471,67,66,66,1,1,2322,0.890960927276126,2.26666666666667
4057089616,16,16,16,0,1,7703,0.630912320059824,2.53333333333333
4057369236,42,41,41,1,1,3860,0.81926528323051,5.48333333333333
4057750966,5,1,0,0,0,21152,0.0105627220041129,0.316666666666667
4057940479,3,3,3,0,1,13185,0.358618433352028,0.3
4058003996,2,2,2,0,1,13960,0.316788184707422,0.05
4058013510,15,14,14,0,1,8494,0.600766498410918,42.6833333333333
4058276295,28,28,28,0,1,5265,0.749392409796224,1.85
4058361301,79,69,65,4,0.942028985507246,19691,0.0797345298186577,7.78333333333333
4058445918,33,27,27,0,1,5572,0.739624228827818,14.3833333333333
4058556230,51,51,51,0,1,3055,0.855767433165078,12.65
4058559149,25,24,24,0,1,6025,0.716722751916246,2.38333333333333
4058596515,4,4,4,0,1,12531,0.392269583099645,0.6
4058658300,89,85,84,1,0.988235294117647,18307,0.144419517666854,77.35
4058694719,46,46,46,0,1,3394,0.839362497663115,109.583333333333
4058746073,2,2,2,0,1,13960,0.316788184707422,0.533333333333333
4058995101,171,170,170,1,1,667,0.968779211067489,14.95
4059037289,733,723,722,3,0.998616874135546,16841,0.212936997569639,150.466666666667
4059068969,14,13,12,0,0.923076923076923,19863,0.0711815292578052,2.31666666666667
4059279583,50,47,47,0,1,3388,0.841652645354272,76.2666666666667
4059328137,24,24,24,0,1,5896,0.718498784819592,2.66666666666667
4059628560,2,1,1,0,1,15990,0.241073097775285,0.233333333333333
4060670975,1,1,1,0,1,14959,0.252757524770985,0
4061502907,3,3,3,0,1,13185,0.358618433352028,0.633333333333333
4061530099,29,28,28,1,1,5364,0.747943540848757,4.58333333333333
4062532905,24,24,24,0,1,5896,0.718498784819592,31.3166666666667
4062663267,91,90,88,0,0.977777777777778,18906,0.116376892877173,15.5833333333333
4062799193,7,6,6,0,1,11795,0.444942979996261,0.583333333333333
4062825746,3,2,2,1,1,14620,0.309169938306225,0.366666666666667
4063229384,12,12,12,0,1,8924,0.571555430921668,1.88333333333333
4063432731,16,16,16,0,1,7703,0.630912320059824,1.8
4064385574,371,367,366,1,0.997275204359673,17058,0.202794914937371,2192.08333333333
4064397303,92,91,91,1,1,1599,0.925079454103571,13.6
4064426884,62,60,60,2,1,2598,0.878435221536736,163.533333333333
4064701191,28,27,27,1,1,5512,0.74065245840344,2.6
4064714291,4,4,4,0,1,12531,0.392269583099645,1.01666666666667
4064737943,180,179,179,0,1,617,0.971162834174612,42.95
4064953629,71,71,71,0,1,2121,0.899747616376893,1728.73333333333
4064954411,16,16,16,0,1,7703,0.630912320059824,2.01666666666667
4065069063,89,88,88,1,1,1653,0.922508880164517,8.83333333333333
4065233280,3,3,3,0,1,13185,0.358618433352028,0.6
4065285668,4,4,4,0,1,12531,0.392269583099645,1.36666666666667
4065418721,1,1,1,0,1,14959,0.252757524770985,0
4065419144,53,51,51,0,1,3102,0.85497289212937,9.23333333333333
4065994247,142,142,142,0,1,880,0.95877734155917,1646.21666666667
